,name,duration_ms,explicit,popularity,artists,album_name,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
69,Helligdom Av Døde,377217,0,0.11,Khold,Svartsyn,0.468,2,-13.254,1.0,0.0406,7.77e-05,0.000738,0.0564,0.282,127.906,4.0,1
70,A System Of Mirrors,459389,0,0.08,Robert Hood,Mirror Man,0.685,10,-12.305,0.0,0.0373,8.41e-06,0.896,0.069,0.148,129.999,4.0,5
71,ラッキー7,194920,0,0.26,Flower,Hitomi No Oku No Milkyway,0.674,7,-3.311,1.0,0.0467,0.016,0.0,0.0402,0.778,93.003,4.0,14
72,Snart blir jeg majestet,171600,0,0.41,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.629,6,-8.356,1.0,0.0753,0.261,9.5e-06,0.0898,0.843,98.887,4.0,6
73,Tell Me If Yuh Like It,186666,1,0.22,Vybz Kartel,Tell Me If Yuh Like It,0.65,4,-4.554,0.0,0.338,0.0423,0.0,0.075,0.331,114.966,5.0,13
74,Dull Boy,255320,0,0.32,Mudvayne,"By The People, For The People",0.598,2,-4.487,0.0,0.193,0.00148,2.3e-06,0.23,0.312,142.97,4.0,11
75,Atomic Ever After,183139,0,0.4,Kid Travis,Strawberry Skies,0.748,6,-13.473,1.0,0.176,0.205,0.0,0.0917,0.59,137.641,4.0,18
76,River of Grace,232653,0,0.48,Christy Nockels,Be Held : Lullabies for the Beloved,0.521,11,-10.654,1.0,0.0468,0.828,0.000766,0.1,0.398,77.046,4.0,3
77,Dooms Day,227056,0,0.08,Arsames,Immortal Identity,0.456,7,-3.817,0.0,0.139,7.98e-06,0.695,0.333,0.416,165.012,4.0,12
78,"Zicke Zacke, Prost ihr Säcke",170042,0,0.22,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,8,-1.898,1.0,0.304,0.0221,0.0,0.529,0.712,140.089,4.0,8
79,Sick Of It All,301383,0,0.24,Nosferatu;Evil Activities,Strength,0.596,6,-3.259,0.0,0.18,0.23,0.00349,0.584,0.15,169.968,4.0,8
80,Aropador,240026,0,0.22,Plastilina Mosh,Juan Manuel,0.783,2,-14.552,1.0,0.0651,0.952,0.918,0.0676,0.397,117.147,4.0,0
81,The Sicarii,222880,0,0.01,Ninkharsag,Blood Of Celestial Kings,0.172,6,-5.129,0.0,0.0992,0.0,0.886,0.115,0.197,122.02,4.0,1
82,Daar zijn we weer!,238228,1,0.17,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,4,-4.478,0.0,0.144,0.181,0.00197,0.303,0.259,100.023,4.0,8
83,deep cracks,113684,0,0.33,fogdream,deep cracks,0.763,5,-13.875,1.0,0.0892,0.29,0.861,0.102,0.665,75.993,4.0,18
84,WKND,264768,0,0.16,Camo & Krooked,Zeitgeist,0.612,9,-5.608,1.0,0.184,0.00075,0.681,0.134,0.439,173.974,4.0,11
85,Offering,222106,0,0.31,The Avett Brothers,A Carolina Jubilee,0.342,7,-7.312,1.0,0.0294,0.24,0.00412,0.107,0.195,88.496,4.0,2
86,Hondo,98384,0,0.15,Flamman & Abraxas,Hondo,0.597,3,-8.626,0.0,0.034,0.000821,0.798,0.308,0.843,139.084,4.0,19
87,Tum Mile,343786,0,0.7,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.738,0,-6.663,1.0,0.0334,0.32,5.15e-06,0.31,0.793,123.01,4.0,10
88,イエローライト,274466,0,0.17,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.459,8,-4.676,0.0,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,4.0,14
89,Aaoge jab tum o sajna unplugged,101615,0,0.05,Nitin Shukla,Aaoge jab tum o sajna unplugged,0.501,7,-20.161,1.0,0.0332,0.983,0.00057,0.123,0.547,94.04,4.0,10
90,Dendrofil for Yggdrasil,340080,0,0.04,Kvelertak,Nattesferd,0.104,9,-5.325,1.0,0.0864,9.91e-06,0.57,0.525,0.126,158.191,4.0,1
91,Hermosa,210088,0,0.01,Timothy Infinite,Suave,0.763,0,-5.413,0.0,0.0496,0.218,0.873,0.103,0.284,101.982,4.0,18
92,Forest Green,189434,0,0.34,Kyson,Forest Green / Have My Back,0.616,6,-11.98,0.0,0.0426,0.472,0.0999,0.112,0.0924,104.026,4.0,9
93,Big Brother,307932,1,0.21,Mushroomhead,Superbuick,0.323,9,-6.034,1.0,0.11,0.000528,0.00663,0.161,0.407,147.309,4.0,11
94,Dhoom Machale Dhoom,235624,0,0.53,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,1,-8.262,1.0,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0,10
95,Confide,268378,0,0.34,Technimatic;A Little Sound,Confide,0.285,10,-3.65,0.0,0.0465,0.0101,0.000269,0.0887,0.0378,173.818,4.0,9
96,Rockit,155653,0,0.23,Bad Boy Bill,The Album,0.866,7,-7.836,1.0,0.0649,0.00108,0.443,0.0406,0.602,127.951,4.0,5
97,My Promiscuous Daughter,196960,0,0.28,CKY,"Camp Kill Yourself, Vol.1",0.263,7,-10.161,0.0,0.0525,0.00696,0.478,0.356,0.308,125.995,4.0,11
98,Are You Ready (ft. Capital J),171789,0,0.14,Bassnectar;Capital J,Cozza Frenzy,0.471,1,-6.222,1.0,0.0921,0.000248,0.731,0.195,0.667,94.511,4.0,4
99,Graveyard Slut,243626,1,0.19,Darkthrone,The Cult is Alive,0.0658,9,-2.484,1.0,0.164,0.000697,0.217,0.317,0.107,199.986,3.0,1
100,Too Close To Hate,288333,0,0.24,Sevendust,Sevendust,0.646,4,-9.072,1.0,0.0745,0.000264,0.00109,0.207,0.39,92.5,4.0,11
101,We Don't Talk About Bruno (from Disney's 'Encanto'),127759,0,0.04,Piano Genie,We Don't Talk About Bruno (from Disney's 'Encanto'),0.737,9,-31.514,0.0,0.0617,0.995,0.971,0.0863,0.185,95.036,4.0,6
102,Their Law,400733,1,0.48,The Prodigy,Music for the Jilted Generation,0.638,7,-8.468,1.0,0.0541,0.00223,0.716,0.309,0.562,119.081,4.0,4
103,Amores de barra,194666,0,0.29,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,7,-6.99,1.0,0.155,0.443,2.46e-06,0.201,0.315,172.065,4.0,17
104,Mehman,270937,0,0.24,Anupam Roy,Mehman,0.603,6,-6.012,1.0,0.0486,0.131,4.16e-05,0.234,0.703,127.981,4.0,10
105,BALD! REMIX,153127,1,0.48,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.721,1,0.402,1.0,0.31,0.181,0.0,0.646,0.705,155.015,4.0,11
106,Be Kind,247433,0,0.33,Rival Consoles,Persona,0.507,10,-20.092,0.0,0.0405,0.959,0.93,0.102,0.45,154.096,4.0,9
107,"Safar (From ""Jab Harry Met Sejal"")",365669,0,0.5,Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",0.307,7,-5.592,1.0,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,5.0,10
108,期待,282840,0,0.26,王瑞霞,"鄉城台語精選, Vol. 1",0.318,0,-10.555,1.0,0.0536,0.128,0.0,0.0825,0.483,74.127,4.0,15
109,Close - Derrick Carter Mix,759400,0,0.07,Chez Damier;Derrick Carter,Close,0.728,0,-9.004,0.0,0.036,1.04e-05,0.756,0.626,0.661,128.025,4.0,5
110,勉強の歌 - 2012 Remaster,280026,0,0.23,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),0.671,9,-5.591,1.0,0.038,0.0841,8.61e-05,0.642,0.963,129.901,4.0,14
111,Stukas im Visier,332786,0,0.3,Feindflug,Feindflug (Vierte Version),0.594,4,-0.527,0.0,0.0929,0.00654,0.932,0.311,0.111,139.904,4.0,11
112,"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",87931,0,0.22,David Healer,Studio Ghibli Piano Lullaby,0.641,5,-19.692,1.0,0.0484,0.985,0.954,0.104,0.63,116.011,4.0,6
113,Fried Banana 2018,279800,0,0.11,OSAMU SATO,LSD REVAMPED,0.56,9,-8.416,0.0,0.0456,0.107,0.833,0.0795,0.964,120.005,4.0,9
114,Mi Chaqueta de Cuero,175177,1,0.42,C.R.O,C.R.O - Mdbcrew Vol 2,0.735,5,-8.174,1.0,0.0684,0.773,0.0484,0.0948,0.32,137.068,4.0,17
115,cheesus,126000,0,0.0,Giorgio Robertini,Slidetrue,0.598,9,-11.992,1.0,0.0769,0.778,0.942,0.103,0.0386,90.156,4.0,18
116,Don't Loose Control,373953,0,0.0,Cosmic Boys,"Monosphere, Vol. 5",0.789,5,-4.552,1.0,0.0635,0.000309,0.917,0.065,0.363,128.992,4.0,19
117,Shabistan,389800,0,0.06,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",0.316,7,-14.772,0.0,0.0559,0.828,0.817,0.0685,0.269,89.008,4.0,12
118,Prego e Martelo,178678,0,0.42,Pablo,Meu Coração,0.773,4,-3.929,1.0,0.0389,0.75,0.0,0.122,0.792,131.948,4.0,7
119,Weird Sex,50640,0,0.0,Leila Bela,Angra Manyu,0.34,6,-17.576,1.0,0.0597,0.767,0.635,0.112,0.139,81.286,3.0,12
120,Crackpipe,272382,0,0.21,Micropoint,Overdose United,0.673,5,-1.414,0.0,0.288,0.0002,0.898,0.0887,0.105,99.998,4.0,11
121,退後,260200,0,0.6,Jay Chou,依然范特西,0.661,0,-5.665,1.0,0.0246,0.406,0.0,0.111,0.186,131.954,4.0,15
122,可愛女人,236466,0,0.55,Jay Chou,杰倫,0.767,5,-9.995,1.0,0.0317,0.552,3.23e-05,0.201,0.921,135.468,4.0,15
123,Pai Nosso - Ao Vivo,213866,0,0.58,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,0.189,9,-7.389,1.0,0.045,0.0877,0.0,0.0628,0.282,183.259,3.0,3
124,"Bilu, Bilu",207493,0,0.57,Pablo,É Só Dizer Que Sim,0.628,5,-6.267,1.0,0.0298,0.437,0.0,0.527,0.606,132.009,4.0,7
125,Nossa História,276240,0,0.45,Forró Boys,"Forró di Katiguria, Vol. 3",0.717,8,-4.765,1.0,0.0334,0.0874,0.0,0.116,0.901,92.998,4.0,7
126,Ova Dweet (Mixed),151500,0,0.04,Popcaan,CruiseControl: How I Met The Biggest Bird (DJ Mix),0.503,1,-7.685,1.0,0.395,0.126,0.0,0.607,0.539,128.454,5.0,13
127,Ballada 07,216640,0,0.23,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,0.498,5,-7.251,0.0,0.0251,0.629,0.000884,0.229,0.281,109.092,4.0,6
128,I'm not yours (feat. 安室奈美惠),221720,0,0.48,Jolin Tsai;Namie Amuro,呸,0.622,9,-5.639,1.0,0.0437,0.0122,1.8e-05,0.651,0.483,128.015,4.0,15
129,Baadaabaad,290000,0,0.0,Rojin Sharafi,Zangaar,0.4,7,-13.288,0.0,0.16,0.839,0.362,0.111,0.0383,88.553,1.0,12
130,Ginger Root,140750,0,0.04,"Sarah, the Illstrumentalist",FLOWERS,0.396,9,-12.465,0.0,0.0415,0.677,0.794,0.176,0.107,84.658,4.0,18
131,Anye Up,200914,0,0.21,Ed Solo,"Welcome To The Jungle, Vol. 6: The Ultimate Jungle Cakes Drum & Bass Compilation",0.529,1,-3.226,1.0,0.0503,7.45e-06,0.936,0.152,0.739,174.996,4.0,4
132,Aura,521401,0,0.56,Avoure,U,0.684,11,-9.088,0.0,0.0471,0.00487,0.887,0.0456,0.364,123.0,4.0,19
133,Andas,185920,0,0.27,Noa Sandberg,Andas,0.144,10,-34.45,1.0,0.0424,0.884,0.834,0.106,0.209,67.858,3.0,16
134,Noble Maiden Fair,163723,0,0.0,Jartisto,Brave (Music from the Motion Picture for Solo Piano),0.625,11,-20.287,0.0,0.115,0.991,0.946,0.147,0.455,120.912,3.0,6
135,Tiê,236733,0,0.2,Sambabook;Criolo,"Sambabook Dona Ivone Lara, Vol. 1",0.668,11,-9.196,1.0,0.0726,0.645,0.0,0.0987,0.858,89.252,4.0,0
136,Imprint of Pleasure,442627,0,0.04,Tube & Berger,Pleasure Dip,0.806,9,-8.129,0.0,0.0927,0.152,0.774,0.102,0.499,122.061,3.0,19
137,Get This Place - Radio Mix,203026,0,0.17,Paul Elstak,The Best Of Paul Elstak Top 20,0.572,0,-5.352,1.0,0.0499,0.0064,0.315,0.419,0.656,158.917,4.0,8
138,Billo Rani,329247,0,0.58,Pritam;Anand Raj Anand;Richa Sharma,Dhan Dhana Dhan Goal,0.71,11,-6.878,0.0,0.111,0.257,0.0,0.192,0.846,98.016,4.0,10
139,(......棕髮少女)(feat. 小野麗莎),219925,0,0.37,吳青峰;Lisa Ono,馬拉美的星期二,0.534,0,-8.56,1.0,0.0352,0.0426,0.0385,0.0957,0.202,88.012,4.0,15
140,Take U Back - Mad Dog Remix,305625,0,0.24,Angerfist;Mad Dog,The Deadfaced Dimension,0.433,11,-3.224,1.0,0.326,0.000207,0.831,0.123,0.123,173.0,4.0,19
141,Dozen + 10,160819,1,0.21,Govana,Liverpool Riddim,0.743,7,-5.016,1.0,0.284,0.217,3.13e-06,0.119,0.529,100.308,4.0,13
142,勇敢的人,220640,0,0.03,No Party For Cao Dong,醜奴兒,0.719,11,-8.503,1.0,0.0365,0.0546,0.0235,0.0982,0.214,114.021,4.0,15
143,Amor Sin Odio,332695,0,0.35,Skaparapid,Que Empiece Ya!,0.504,7,-9.082,1.0,0.129,0.0587,0.00255,0.207,0.579,118.562,4.0,17
144,Ihr könnt Euch einfach mal - Walter Wild Mix,277416,1,0.23,Ikke Hüftgold;Basti Trailerpark;Walter Wild,Ihr könnt Euch einfach mal,0.671,11,-3.39,0.0,0.104,0.0358,1.97e-06,0.366,0.6,139.986,4.0,8
145,The Great Wound of History,184529,0,0.0,Beshenitar,The Great Wound of History,0.295,4,-3.66,1.0,0.0828,0.441,0.877,0.985,0.0253,140.002,4.0,12
146,你怎麼捨得我難過,271560,0,0.23,音樂磁場,音樂磁場1-國語經典名曲,0.743,6,-14.684,1.0,0.0301,0.892,0.00348,0.0983,0.439,112.305,3.0,15
147,Shelter,343225,0,0.0,Ocoeur,Inner,0.146,11,-23.291,1.0,0.0375,0.858,0.944,0.0769,0.033,68.61,4.0,9
148,Sandsings - Stylophone mix,290760,0,0.0,Mira Calix,Pin Skeeling,0.468,9,-6.992,0.0,0.133,0.0514,0.252,0.107,0.222,163.239,4.0,9
149,flat disc - Coffe Shop,140572,0,0.38,wet by water,flat disc,0.673,10,-16.714,1.0,0.0432,0.97,0.88,0.137,0.597,79.295,4.0,18
150,ヴァージニティー,252946,0,0.27,NMB48,ヴァージニティー (劇場盤),0.457,2,-2.021,0.0,0.0449,0.181,4.3e-05,0.218,0.678,164.892,4.0,14
151,Lage Nahi Man,191770,0,0.56,Vismay Patel,Lage Nahi Man,0.622,6,-16.183,1.0,0.0268,0.855,0.00102,0.117,0.508,124.938,3.0,10
152,Akela Hoon,224600,0,0.53,AMAN,Akela Hoon,0.508,7,-22.456,1.0,0.0295,0.943,0.000875,0.18,0.11,70.198,4.0,10
